SINGLE PRECISION TESTING
-------------------------------------------------------------------
KERNEL 6: 3072.000000, 0.011264 ms
KERNEL 6: 3072.000000, 0.011488 ms
KERNEL 6: 3072.000000, 0.011264 ms
KERNEL 6: 3072.000000, 0.011616 ms
KERNEL 6: 3072.000000, 0.010240 ms
KERNEL 6: 3072.000000, 0.012256 ms
KERNEL 6: 3072.000000, 0.010240 ms
KERNEL 6: 3072.000000, 0.010400 ms
KERNEL 6: 3072.000000, 0.010240 ms
KERNEL 6: 3072.000000, 0.010240 ms
KERNEL 6: 3072.000000, 0.010240 ms
KERNEL 6: 3072.000000, 0.010240 ms
KERNEL 6: 3072.000000, 0.010240 ms
KERNEL 6: 3072.000000, 0.010240 ms
KERNEL 6: 3072.000000, 0.010208 ms
KERNEL 6: 3072.000000, 0.009760 ms
CUB::REDUCE: 3072.000000, 0.012704 ms
THRUST::REDUCE: 3072.000000, 0.092256 ms
-------------------------------------------------------------------



-------------------------------------------------------------------
Input Size: 4096 (0.000016 GB)
NO THREAD: 6144.000000, 0.006749 ms
THREAD: 6144.000000, 0.007301 ms
KERNEL 1: 6144.000000, 0.078848 ms
KERNEL 2: 6144.000000, 0.033120 ms
KERNEL 3: 6144.000000, 0.015584 ms
KERNEL 4: 6144.000000, 0.015360 ms
KERNEL 5: 6144.000000, 0.011328 ms
KERNEL 6: 6144.000000, 0.011200 ms
KERNEL 6: 6144.000000, 0.016352 ms
KERNEL 6: 6144.000000, 0.032928 ms
KERNEL 6: 6144.000000, 0.011968 ms
KERNEL 6: 6144.000000, 0.016128 ms
KERNEL 6: 6144.000000, 0.013440 ms
KERNEL 6: 6144.000000, 0.016320 ms
KERNEL 6: 6144.000000, 0.014336 ms
KERNEL 6: 6144.000000, 0.010240 ms
KERNEL 6: 6144.000000, 0.012384 ms
KERNEL 6: 6144.000000, 0.012000 ms
KERNEL 6: 6144.000000, 0.012352 ms
KERNEL 6: 6144.000000, 0.014240 ms
KERNEL 6: 6144.000000, 0.011104 ms
KERNEL 6: 6144.000000, 0.010080 ms
KERNEL 6: 6144.000000, 0.014080 ms
CUB::REDUCE: 6144.000000, 0.013248 ms
THRUST::REDUCE: 6144.000000, 0.091232 ms
-------------------------------------------------------------------



-------------------------------------------------------------------
Input Size: 8192 (0.000033 GB)
NO THREAD: 12288.000000, 0.013495 ms
THREAD: 12288.000000, 0.560624 ms
KERNEL 1: 12288.000000, 0.150112 ms
KERNEL 2: 12288.000000, 0.024352 ms
KERNEL 3: 12288.000000, 0.009216 ms
KERNEL 4: 12288.000000, 0.010880 ms
KERNEL 5: 12288.000000, 0.010240 ms
KERNEL 6: 12288.000000, 0.010240 ms
KERNEL 6: 12288.000000, 0.013984 ms
KERNEL 6: 12288.000000, 0.010048 ms
KERNEL 6: 12288.000000, 0.012288 ms
KERNEL 6: 12288.000000, 0.012288 ms
KERNEL 6: 12288.000000, 0.012320 ms
KERNEL 6: 12288.000000, 0.012288 ms
KERNEL 6: 12288.000000, 0.029824 ms
KERNEL 6: 12288.000000, 0.010240 ms
KERNEL 6: 12288.000000, 0.012288 ms
KERNEL 6: 12288.000000, 0.012288 ms
KERNEL 6: 12288.000000, 0.012384 ms
KERNEL 6: 12288.000000, 0.012512 ms
KERNEL 6: 12288.000000, 0.013024 ms
KERNEL 6: 12288.000000, 0.024576 ms
KERNEL 6: 12288.000000, 0.010240 ms
CUB::REDUCE: 12288.000000, 0.049152 ms
THRUST::REDUCE: 12288.000000, 0.187392 ms
-------------------------------------------------------------------



-------------------------------------------------------------------
Input Size: 16384 (0.000066 GB)
NO THREAD: 24576.000000, 0.045894 ms
THREAD: 24576.000000, 0.809712 ms
KERNEL 1: 24576.000000, 0.293888 ms
KERNEL 2: 24576.000000, 0.035808 ms
KERNEL 3: 24576.000000, 0.010240 ms
KERNEL 4: 24576.000000, 0.009216 ms
KERNEL 5: 24576.000000, 0.011680 ms
KERNEL 6: 24576.000000, 0.012288 ms
KERNEL 6: 24576.000000, 0.013312 ms
KERNEL 6: 24576.000000, 0.012000 ms
KERNEL 6: 24576.000000, 0.010240 ms
KERNEL 6: 24576.000000, 0.010240 ms
KERNEL 6: 24576.000000, 0.011200 ms
KERNEL 6: 24576.000000, 0.010048 ms
KERNEL 6: 24576.000000, 0.010240 ms
